filename	onset	offset	event_label
104.wav	5.235	10.000	Blender
1040.wav	0.438	1.805	Dishes
1040.wav	2.962	10.000	Frying
1042.wav	0.808	2.540	Speech
1042.wav	1.561	2.126	Dishes
1042.wav	5.003	5.506	Dishes
1042.wav	6.264	6.580	Dishes
1042.wav	6.348	10.000	Frying
1043.wav	0.053	1.575	Dishes
1043.wav	2.484	2.734	Dishes
1043.wav	3.234	3.913	Dishes
1043.wav	3.883	6.434	Speech
1043.wav	5.364	5.657	Dishes
1043.wav	7.576	10.000	Frying
1045.wav	1.246	1.845	Speech
1045.wav	2.906	10.000	Frying
1045.wav	4.260	6.692	Speech
1048.wav	0.000	10.000	Frying
105.wav	3.147	5.523	Blender
105.wav	8.530	10.000	Blender
1055.wav	0.000	10.000	Frying
1055.wav	0.446	0.696	Dishes
1055.wav	2.931	3.638	Speech
1055.wav	6.531	6.855	Dishes
1055.wav	7.351	7.977	Speech
1057.wav	0.000	10.000	Frying
106.wav	0.032	7.607	Running_water
106.wav	1.492	4.145	Blender
106.wav	4.448	5.370	Speech
1066.wav	3.296	7.541	Running_water
1067.wav	1.791	6.921	Running_water
1067.wav	3.996	4.246	Dishes
1067.wav	5.553	6.469	Dishes
1069.wav	0.345	1.656	Speech
1069.wav	5.423	10.000	Running_water
1069.wav	5.428	5.678	Dishes
1069.wav	7.213	8.473	Speech
1070.wav	3.218	10.000	Running_water
1074.wav	8.797	10.000	Running_water
1075.wav	2.767	10.000	Running_water
1075.wav	5.516	7.909	Speech
1077.wav	2.028	2.315	Dishes
1077.wav	4.289	4.869	Speech
1077.wav	4.799	10.000	Running_water
1078.wav	0.112	2.458	Running_water
1078.wav	1.359	2.255	Speech
1078.wav	4.831	5.451	Speech
1078.wav	5.421	10.000	Running_water
1078.wav	6.786	7.036	Dishes
108.wav	2.105	5.399	Speech
108.wav	6.041	8.122	Blender
108.wav	8.803	9.830	Speech
108.wav	8.862	9.911	Blender
1080.wav	5.180	10.000	Running_water
1081.wav	3.228	10.000	Running_water
1082.wav	0.483	5.265	Running_water
1082.wav	2.943	3.193	Dishes
1082.wav	6.846	10.000	Running_water
1082.wav	8.068	8.388	Alarm_bell_ringing
1083.wav	0.418	0.668	Dishes
1083.wav	3.003	3.253	Speech
1083.wav	6.800	7.050	Alarm_bell_ringing
1083.wav	7.574	8.113	Speech
1083.wav	8.181	10.000	Running_water
1084.wav	6.388	6.952	Speech
1084.wav	7.650	9.326	Dishes
1084.wav	8.420	10.000	Running_water
1085.wav	2.282	9.858	Running_water
1085.wav	7.873	8.168	Dishes
1086.wav	0.559	8.773	Running_water
1087.wav	2.211	8.077	Speech
1087.wav	8.195	9.072	Dishes
1087.wav	8.713	10.000	Running_water
1087.wav	9.657	10.000	Dishes
109.wav	6.483	8.371	Blender
109.wav	7.958	8.367	Dishes
1090.wav	2.680	10.000	Running_water
1090.wav	4.992	5.251	Speech
1095.wav	1.151	10.000	Running_water
1096.wav	3.134	10.000	Running_water
1098.wav	4.421	10.000	Running_water
1099.wav	3.074	3.638	Speech
1099.wav	3.728	10.000	Running_water
1099.wav	6.305	9.583	Speech
1101.wav	2.852	5.067	Speech
1101.wav	6.179	6.735	Running_water
1101.wav	6.524	8.449	Speech
1101.wav	7.207	7.948	Dog
1101.wav	9.462	9.712	Running_water
1107.wav	8.588	10.000	Running_water
1108.wav	0.272	1.085	Cat
1108.wav	4.074	4.556	Alarm_bell_ringing
1108.wav	7.913	10.000	Running_water
1111.wav	1.803	10.000	Running_water
1111.wav	3.283	3.996	Speech
1113.wav	0.762	1.220	Speech
1113.wav	8.072	10.000	Running_water
1116.wav	6.610	10.000	Running_water
1118.wav	0.749	1.635	Speech
1118.wav	2.262	10.000	Running_water
1118.wav	8.262	9.529	Speech
1119.wav	0.294	0.544	Dishes
1119.wav	0.910	1.160	Running_water
1119.wav	1.314	6.826	Running_water
1119.wav	7.292	8.543	Speech
1119.wav	7.977	10.000	Running_water
112.wav	0.574	1.799	Blender
112.wav	5.953	6.513	Speech
112.wav	6.367	7.383	Blender
112.wav	8.335	9.140	Blender
1123.wav	3.767	4.388	Speech
1123.wav	4.900	6.575	Speech
1123.wav	5.974	6.224	Dishes
1123.wav	7.592	8.971	Speech
1124.wav	1.935	2.766	Speech
1124.wav	7.061	9.527	Running_water
1125.wav	1.365	2.795	Speech
1125.wav	3.945	5.102	Speech
1125.wav	7.113	8.683	Speech
1125.wav	8.202	9.033	Dishes
1125.wav	9.605	10.000	Speech
1127.wav	0.521	0.771	Dishes
1127.wav	6.508	7.138	Cat
1127.wav	9.683	10.000	Speech
113.wav	0.530	10.000	Blender
1131.wav	2.336	2.586	Dog
1131.wav	2.355	4.038	Speech
1131.wav	4.203	4.453	Speech
1131.wav	6.063	9.502	Speech
1135.wav	0.499	0.844	Speech
1135.wav	2.505	5.136	Dog
1135.wav	4.778	5.758	Speech
1135.wav	8.586	10.000	Speech
1135.wav	9.500	9.750	Dishes
1136.wav	1.136	3.573	Speech
1136.wav	1.481	1.810	Alarm_bell_ringing
1136.wav	4.755	5.035	Speech
1136.wav	6.377	6.854	Speech
1136.wav	8.175	10.000	Speech
114.wav	0.199	1.031	Blender
1142.wav	1.707	2.046	Speech
1148.wav	1.304	1.554	Dishes
1148.wav	2.348	2.908	Speech
1148.wav	2.741	3.054	Alarm_bell_ringing
1148.wav	5.484	6.299	Speech
1148.wav	7.706	8.862	Speech
115.wav	0.416	1.197	Dishes
115.wav	0.636	1.270	Speech
115.wav	6.195	9.105	Blender
1150.wav	0.319	1.041	Speech
1150.wav	2.278	2.528	Dishes
1150.wav	2.289	3.303	Cat
1150.wav	3.359	4.160	Speech
1150.wav	7.258	7.583	Dishes
1150.wav	7.409	8.141	Speech
1150.wav	9.734	10.000	Speech
1153.wav	1.367	1.648	Speech
1153.wav	2.605	3.857	Speech
1153.wav	6.462	7.880	Dishes
1153.wav	7.025	7.502	Speech
1153.wav	7.983	9.375	Speech
1153.wav	8.105	9.096	Cat
1154.wav	8.622	10.000	Speech
1154.wav	9.378	9.763	Dog
1155.wav	4.013	4.541	Dishes
1155.wav	4.942	5.838	Speech
1155.wav	6.023	6.343	Alarm_bell_ringing
1155.wav	7.035	8.926	Speech
1155.wav	9.216	10.000	Dishes
1156.wav	1.267	1.593	Dog
1156.wav	4.254	4.504	Dishes
1156.wav	7.256	8.686	Speech
1156.wav	8.476	9.262	Cat
116.wav	2.229	4.063	Speech
116.wav	5.655	10.000	Running_water
116.wav	6.091	9.375	Blender
1162.wav	1.369	2.903	Speech
1162.wav	8.437	9.592	Speech
1163.wav	3.345	5.388	Dog
1163.wav	5.843	7.367	Speech
1165.wav	1.710	2.270	Speech
1165.wav	3.651	5.614	Speech
1167.wav	1.908	4.427	Speech
1167.wav	5.474	7.150	Speech
1167.wav	7.408	7.885	Speech
1167.wav	8.688	10.000	Speech
1169.wav	2.160	2.649	Speech
1169.wav	2.635	3.130	Alarm_bell_ringing
1169.wav	4.391	4.772	Speech
1172.wav	3.417	5.702	Speech
1172.wav	6.488	8.692	Speech
1173.wav	0.310	0.654	Speech
1173.wav	1.274	9.100	Alarm_bell_ringing
1173.wav	7.577	8.798	Speech
1174.wav	0.867	1.660	Speech
1174.wav	4.284	5.956	Speech
1174.wav	7.674	8.592	Dishes
1174.wav	7.797	9.687	Speech
1177.wav	5.053	6.201	Speech
1178.wav	4.467	4.717	Speech
1179.wav	3.871	5.673	Speech
1179.wav	6.422	7.319	Speech
1181.wav	2.189	3.062	Speech
1181.wav	6.070	8.202	Speech
1182.wav	3.011	3.653	Dog
1182.wav	4.579	6.076	Dog
1182.wav	5.141	5.766	Speech
1182.wav	6.156	10.000	Vacuum_cleaner
1183.wav	1.413	1.669	Dog
1183.wav	4.968	7.032	Speech
1183.wav	7.819	9.354	Speech
1183.wav	8.622	10.000	Vacuum_cleaner
1185.wav	1.372	3.236	Speech
1185.wav	4.546	10.000	Vacuum_cleaner
1185.wav	6.013	6.447	Speech
1186.wav	0.499	1.642	Speech
1186.wav	1.658	10.000	Vacuum_cleaner
1186.wav	4.861	5.927	Speech
1188.wav	7.959	10.000	Vacuum_cleaner
1189.wav	5.278	6.802	Speech
1189.wav	6.245	10.000	Vacuum_cleaner
119.wav	1.273	2.498	Blender
119.wav	1.396	1.646	Dishes
119.wav	4.646	4.896	Dishes
119.wav	7.019	7.697	Dishes
119.wav	7.346	8.039	Speech
1192.wav	1.700	10.000	Vacuum_cleaner
1192.wav	3.964	4.223	Speech
1193.wav	0.577	10.000	Vacuum_cleaner
1194.wav	1.673	10.000	Vacuum_cleaner
1198.wav	0.351	0.676	Dog
1198.wav	3.048	10.000	Vacuum_cleaner
1198.wav	3.059	3.517	Speech
1199.wav	0.147	1.330	Speech
1199.wav	8.479	10.000	Vacuum_cleaner
1200.wav	0.292	1.882	Speech
1200.wav	6.837	10.000	Vacuum_cleaner
1203.wav	3.671	10.000	Vacuum_cleaner
1204.wav	3.671	4.556	Speech
1204.wav	4.281	10.000	Vacuum_cleaner
1204.wav	8.846	9.323	Speech
1205.wav	0.074	10.000	Vacuum_cleaner
1205.wav	6.707	7.213	Speech
1205.wav	8.384	10.000	Speech
1206.wav	0.497	10.000	Vacuum_cleaner
1206.wav	1.166	2.096	Blender
1206.wav	2.416	4.631	Speech
1206.wav	8.218	8.643	Speech
1207.wav	2.938	3.661	Speech
1207.wav	6.540	10.000	Vacuum_cleaner
1207.wav	7.826	9.205	Speech
1210.wav	7.694	10.000	Vacuum_cleaner
1211.wav	1.443	2.624	Speech
1211.wav	4.319	5.791	Speech
1211.wav	8.059	10.000	Vacuum_cleaner
1211.wav	8.573	8.853	Dog
1212.wav	7.430	10.000	Vacuum_cleaner
1215.wav	8.598	10.000	Vacuum_cleaner
1216.wav	2.679	10.000	Vacuum_cleaner
1217.wav	3.195	5.147	Speech
1217.wav	6.780	10.000	Vacuum_cleaner
1218.wav	1.900	8.457	Vacuum_cleaner
1218.wav	6.020	7.156	Speech
1219.wav	6.530	10.000	Vacuum_cleaner
122.wav	7.994	10.000	Blender
1226.wav	0.000	3.969	Vacuum_cleaner
1228.wav	0.000	6.597	Vacuum_cleaner
1228.wav	1.435	1.974	Speech
1228.wav	4.341	4.591	Dog
1228.wav	4.735	6.208	Speech
1228.wav	7.607	8.329	Speech
1229.wav	0.000	3.809	Vacuum_cleaner
1229.wav	7.926	8.848	Speech
1230.wav	0.000	5.146	Vacuum_cleaner
1230.wav	2.352	2.691	Speech
1230.wav	4.478	4.813	Dog
1230.wav	9.029	10.000	Speech
1231.wav	0.000	10.000	Vacuum_cleaner
1231.wav	1.465	1.724	Speech
1231.wav	4.404	4.654	Speech
1235.wav	0.000	10.000	Vacuum_cleaner
1235.wav	4.318	5.384	Speech
1236.wav	0.000	10.000	Vacuum_cleaner
1236.wav	0.563	2.158	Speech
1236.wav	3.171	4.602	Speech
1237.wav	0.000	10.000	Vacuum_cleaner
1238.wav	0.000	10.000	Vacuum_cleaner
1238.wav	2.032	2.282	Speech
1238.wav	5.978	6.404	Speech
1238.wav	7.181	10.000	Dog
1239.wav	0.000	10.000	Vacuum_cleaner
124.wav	0.524	1.725	Cat
124.wav	4.244	4.869	Cat
124.wav	5.074	6.319	Cat
124.wav	7.188	8.057	Cat
124.wav	7.825	8.467	Dog
1240.wav	0.000	10.000	Vacuum_cleaner
1240.wav	0.307	2.209	Speech
1240.wav	3.287	3.567	Speech
1240.wav	6.370	8.295	Speech
1241.wav	0.000	10.000	Vacuum_cleaner
1241.wav	2.859	4.822	Speech
1241.wav	8.334	9.555	Speech
125.wav	2.908	3.984	Cat
125.wav	5.388	5.856	Cat
125.wav	5.463	6.001	Speech
125.wav	6.299	7.089	Cat
125.wav	7.430	9.290	Cat
125.wav	9.377	9.783	Speech
1250.wav	1.105	1.591	Alarm_bell_ringing
1252.wav	5.499	5.810	Alarm_bell_ringing
1252.wav	7.054	7.536	Alarm_bell_ringing
1252.wav	8.916	9.166	Speech
1252.wav	9.515	9.925	Dog
1255.wav	1.544	5.777	Alarm_bell_ringing
1255.wav	8.470	8.905	Speech
1256.wav	2.460	5.699	Alarm_bell_ringing
1256.wav	6.132	8.370	Alarm_bell_ringing
1256.wav	9.561	10.000	Speech
1257.wav	0.783	1.260	Speech
1257.wav	1.031	1.363	Alarm_bell_ringing
1257.wav	3.361	4.516	Speech
1257.wav	5.164	5.482	Alarm_bell_ringing
1257.wav	8.352	8.867	Alarm_bell_ringing
1257.wav	9.749	10.000	Speech
1260.wav	0.096	0.668	Alarm_bell_ringing
1262.wav	0.689	3.845	Alarm_bell_ringing
1262.wav	2.289	2.613	Dog
1262.wav	5.114	5.425	Alarm_bell_ringing
1262.wav	7.620	7.964	Speech
1262.wav	8.855	10.000	Speech
1263.wav	0.713	1.031	Alarm_bell_ringing
1263.wav	2.788	3.274	Alarm_bell_ringing
1263.wav	3.512	3.832	Alarm_bell_ringing
1263.wav	3.581	5.502	Speech
1263.wav	7.107	7.420	Alarm_bell_ringing
1267.wav	8.141	8.635	Alarm_bell_ringing
1268.wav	0.776	1.096	Alarm_bell_ringing
1268.wav	1.378	1.855	Speech
1268.wav	4.603	4.931	Alarm_bell_ringing
1268.wav	5.246	7.678	Speech
1268.wav	8.344	10.000	Alarm_bell_ringing
1269.wav	9.695	10.000	Alarm_bell_ringing
127.wav	2.525	3.420	Cat
127.wav	3.649	5.327	Cat
127.wav	5.052	5.530	Speech
127.wav	7.562	8.269	Speech
127.wav	9.356	9.841	Cat
127.wav	9.713	10.000	Speech
1271.wav	0.869	1.327	Dog
1271.wav	1.734	3.189	Speech
1271.wav	4.914	7.160	Alarm_bell_ringing
1271.wav	6.649	10.000	Dog
1271.wav	7.295	7.927	Speech
1273.wav	0.122	0.772	Speech
1273.wav	3.065	3.554	Alarm_bell_ringing
1273.wav	8.633	10.000	Alarm_bell_ringing
1274.wav	0.165	1.322	Speech
1274.wav	1.491	3.705	Speech
1274.wav	3.017	3.390	Alarm_bell_ringing
1274.wav	4.311	4.622	Alarm_bell_ringing
1274.wav	5.189	9.378	Alarm_bell_ringing
1274.wav	6.033	7.868	Speech
1274.wav	8.961	10.000	Speech
1275.wav	6.163	6.483	Alarm_bell_ringing
1276.wav	0.572	4.672	Alarm_bell_ringing
1276.wav	3.125	4.197	Dog
1276.wav	6.466	6.955	Speech
1279.wav	0.153	0.468	Alarm_bell_ringing
1279.wav	2.014	3.384	Speech
1279.wav	5.473	5.787	Alarm_bell_ringing
1279.wav	8.847	10.000	Alarm_bell_ringing
1279.wav	8.884	10.000	Speech
128.wav	0.172	1.927	Speech
128.wav	2.047	2.522	Cat
128.wav	4.557	5.426	Cat
128.wav	6.669	7.538	Cat
1281.wav	0.339	0.825	Alarm_bell_ringing
1281.wav	2.731	3.953	Speech
1281.wav	5.009	5.325	Alarm_bell_ringing
1281.wav	9.307	9.827	Speech
1282.wav	0.427	4.075	Alarm_bell_ringing
1282.wav	0.493	1.074	Speech
1282.wav	4.609	5.048	Alarm_bell_ringing
1282.wav	5.704	6.299	Cat
1282.wav	7.391	7.874	Alarm_bell_ringing
1282.wav	7.693	8.037	Speech
1282.wav	9.194	10.000	Speech
1282.wav	9.340	10.000	Alarm_bell_ringing
1283.wav	2.436	2.756	Alarm_bell_ringing
1283.wav	4.383	4.633	Alarm_bell_ringing
1283.wav	5.110	5.469	Alarm_bell_ringing
1283.wav	5.814	6.384	Alarm_bell_ringing
1283.wav	8.040	9.057	Speech
1284.wav	0.902	2.583	Alarm_bell_ringing
1284.wav	1.761	2.306	Cat
1284.wav	3.781	4.060	Dog
1284.wav	3.941	4.604	Speech
1284.wav	8.292	9.266	Dog
1284.wav	8.594	9.129	Alarm_bell_ringing
1284.wav	9.311	9.633	Alarm_bell_ringing
1285.wav	0.738	4.744	Alarm_bell_ringing
1285.wav	6.740	9.281	Alarm_bell_ringing
1288.wav	0.066	1.968	Speech
1288.wav	0.100	0.428	Alarm_bell_ringing
1288.wav	2.246	2.741	Alarm_bell_ringing
1288.wav	2.334	3.027	Speech
1288.wav	6.412	10.000	Alarm_bell_ringing
1291.wav	1.014	1.264	Alarm_bell_ringing
1297.wav	7.442	7.924	Alarm_bell_ringing
1298.wav	5.465	5.798	Dog
1298.wav	5.955	8.347	Speech
1298.wav	8.168	8.485	Alarm_bell_ringing
1299.wav	4.978	5.228	Speech
1299.wav	6.879	7.313	Speech
1299.wav	7.231	7.723	Alarm_bell_ringing
1299.wav	8.316	10.000	Alarm_bell_ringing
130.wav	6.298	7.196	Cat
130.wav	8.534	9.537	Cat
1303.wav	2.337	3.518	Speech
1303.wav	3.971	4.289	Alarm_bell_ringing
1303.wav	5.664	6.435	Dog
1303.wav	6.107	7.631	Speech
1303.wav	8.420	9.195	Alarm_bell_ringing
1305.wav	3.448	3.762	Alarm_bell_ringing
1305.wav	6.970	7.250	Speech
1305.wav	7.926	8.811	Speech
1307.wav	0.798	1.505	Alarm_bell_ringing
1307.wav	5.310	5.736	Speech
1307.wav	7.519	8.109	Alarm_bell_ringing
1307.wav	9.264	9.514	Alarm_bell_ringing
1307.wav	9.428	9.863	Speech
1308.wav	5.549	5.867	Alarm_bell_ringing
1308.wav	6.412	8.579	Alarm_bell_ringing
1308.wav	8.232	9.608	Speech
131.wav	0.559	1.832	Cat
131.wav	3.723	4.929	Cat
131.wav	6.067	7.337	Speech
131.wav	7.187	9.163	Cat
131.wav	9.356	10.000	Speech
1312.wav	1.158	4.364	Blender
1312.wav	2.785	3.035	Dishes
1312.wav	2.962	3.298	Speech
1312.wav	5.788	10.000	Blender
1312.wav	6.850	7.100	Dishes
1314.wav	8.309	8.792	Blender
1315.wav	3.676	9.491	Blender
1317.wav	2.118	2.734	Blender
1319.wav	2.913	3.971	Blender
1319.wav	4.895	7.751	Blender
1319.wav	8.862	9.584	Speech
1320.wav	1.042	2.670	Dishes
1320.wav	3.095	3.653	Speech
1320.wav	4.043	5.567	Speech
1320.wav	5.202	6.382	Blender
1320.wav	7.543	9.175	Speech
1320.wav	8.236	10.000	Blender
1321.wav	0.313	1.340	Blender
1321.wav	2.173	2.423	Dishes
1321.wav	7.269	7.732	Dishes
1322.wav	0.872	1.498	Speech
1322.wav	4.388	10.000	Blender
1322.wav	8.260	8.510	Dishes
1323.wav	0.919	1.706	Speech
1323.wav	3.912	4.945	Blender
1323.wav	7.254	10.000	Blender
1323.wav	9.428	10.000	Dishes
1324.wav	0.894	2.286	Speech
1324.wav	9.138	10.000	Blender
1325.wav	4.044	10.000	Blender
1325.wav	5.266	6.068	Speech
1326.wav	8.420	10.000	Blender
1327.wav	0.782	3.159	Blender
1327.wav	2.505	2.755	Dishes
1327.wav	4.399	5.934	Speech
1330.wav	4.914	6.689	Blender
1330.wav	7.659	8.726	Blender
1336.wav	2.226	3.292	Blender
1336.wav	7.166	7.592	Speech
1336.wav	8.854	9.784	Blender
1339.wav	2.809	3.993	Speech
1339.wav	3.338	3.838	Blender
1339.wav	7.292	9.805	Blender
1340.wav	2.262	5.013	Speech
1340.wav	6.116	7.875	Dishes
1340.wav	7.969	10.000	Blender
1341.wav	7.244	8.076	Blender
1342.wav	3.999	4.890	Blender
1342.wav	7.502	8.418	Dishes
1346.wav	0.493	1.294	Speech
1346.wav	0.927	1.771	Blender
1346.wav	2.648	3.535	Speech
1346.wav	7.035	7.688	Dishes
1346.wav	7.539	9.754	Speech
1347.wav	3.939	5.261	Speech
1347.wav	9.471	9.877	Blender
1350.wav	1.737	5.180	Blender
1350.wav	5.297	5.756	Dishes
1350.wav	6.418	8.305	Speech
1359.wav	6.643	10.000	Blender
136.wav	1.739	2.217	Speech
136.wav	2.635	3.546	Cat
136.wav	5.930	6.686	Dishes
136.wav	8.772	9.247	Cat
1361.wav	2.554	4.442	Blender
1363.wav	0.694	1.314	Speech
1363.wav	3.320	3.580	Dishes
1363.wav	5.577	6.157	Speech
1363.wav	6.665	10.000	Blender
1366.wav	2.550	10.000	Blender
1367.wav	1.024	1.986	Speech
1367.wav	1.084	1.600	Blender
1367.wav	2.220	2.470	Speech
1367.wav	3.132	3.459	Dishes
1367.wav	4.441	5.039	Speech
1367.wav	7.485	10.000	Blender
1367.wav	9.142	10.000	Speech
1368.wav	0.074	1.602	Blender
1368.wav	2.178	2.678	Dishes
1368.wav	2.418	5.788	Speech
1368.wav	5.757	7.561	Blender
137.wav	3.294	5.509	Speech
137.wav	7.182	8.196	Cat
137.wav	7.945	8.195	Dishes
1372.wav	0.477	3.162	Blender
1373.wav	3.483	5.876	Speech
1373.wav	6.151	7.201	Blender
1376.wav	0.833	1.670	Cat
1376.wav	2.743	3.202	Cat
1377.wav	3.447	3.800	Alarm_bell_ringing
1377.wav	6.171	6.801	Cat
1377.wav	7.430	8.476	Cat
1378.wav	0.394	2.105	Cat
1378.wav	3.833	4.383	Cat
1378.wav	3.926	4.619	Speech
1378.wav	5.874	8.307	Speech
1378.wav	7.589	8.665	Cat
1378.wav	8.971	10.000	Cat
138.wav	0.753	1.703	Cat
138.wav	1.940	2.809	Cat
138.wav	4.954	5.590	Cat
1380.wav	0.543	1.419	Cat
1380.wav	2.605	3.392	Cat
1380.wav	4.621	6.530	Cat
1381.wav	1.229	2.179	Cat
1381.wav	3.974	4.940	Cat
1381.wav	4.895	8.859	Alarm_bell_ringing
1381.wav	7.240	7.791	Cat
1382.wav	1.129	1.451	Cat
1382.wav	2.700	4.408	Cat
1382.wav	6.234	7.461	Cat
1382.wav	7.438	7.718	Speech
1382.wav	7.942	9.721	Cat
1385.wav	0.836	1.601	Speech
1385.wav	2.513	3.147	Speech
1385.wav	5.159	6.212	Cat
1385.wav	6.108	6.647	Speech
1385.wav	7.461	8.287	Cat
1386.wav	2.011	2.770	Cat
1386.wav	3.365	4.263	Cat
1387.wav	4.549	5.099	Cat
1387.wav	8.677	10.000	Cat
1390.wav	0.749	2.397	Speech
1390.wav	1.613	1.947	Dog
1390.wav	3.162	4.367	Cat
1390.wav	5.991	7.146	Speech
1390.wav	6.802	7.816	Cat
1390.wav	8.164	9.369	Cat
1391.wav	0.355	1.607	Speech
1391.wav	3.037	3.357	Alarm_bell_ringing
1391.wav	5.976	7.123	Speech
1391.wav	8.452	9.077	Dog
1391.wav	9.507	10.000	Cat
1392.wav	2.947	4.417	Cat
1392.wav	5.547	10.000	Dog
1392.wav	8.313	8.773	Cat
1395.wav	8.421	10.000	Cat
1397.wav	3.327	4.130	Cat
1397.wav	5.284	7.811	Cat
1397.wav	9.544	10.000	Speech
1398.wav	1.683	2.309	Speech
1398.wav	2.549	6.050	Speech
1398.wav	5.896	7.675	Cat
1398.wav	6.679	7.330	Speech
1398.wav	8.133	9.508	Speech
1398.wav	9.287	9.883	Cat
14.wav	3.015	6.822	Alarm_bell_ringing
14.wav	3.534	3.814	Speech
14.wav	5.206	6.427	Speech
14.wav	7.090	8.123	Dog
14.wav	8.109	8.359	Alarm_bell_ringing
140.wav	6.782	7.676	Cat
1400.wav	1.649	3.120	Cat
1400.wav	1.833	2.172	Dog
1400.wav	3.714	4.751	Cat
1400.wav	8.900	10.000	Cat
1401.wav	4.761	5.011	Cat
1401.wav	9.258	10.000	Speech
1402.wav	7.401	7.907	Cat
1402.wav	8.436	9.891	Speech
1403.wav	0.083	0.333	Speech
1403.wav	0.578	1.615	Cat
1403.wav	1.512	2.032	Speech
1403.wav	3.556	4.359	Cat
1403.wav	5.172	5.422	Dishes
1403.wav	5.947	7.066	Cat
1403.wav	7.607	9.411	Speech
1403.wav	9.240	10.000	Cat
1404.wav	3.808	4.544	Cat
1404.wav	4.603	5.979	Speech
1405.wav	2.403	5.263	Cat
1405.wav	4.671	5.334	Speech
1405.wav	5.633	7.441	Cat
1407.wav	3.761	4.311	Cat
1407.wav	4.530	6.361	Speech
1407.wav	7.051	8.521	Cat
1407.wav	8.757	9.669	Cat
1408.wav	3.413	4.619	Cat
1408.wav	4.809	5.544	Cat
1409.wav	3.610	3.860	Dog
1409.wav	4.460	5.215	Cat
1409.wav	6.030	7.701	Cat
1409.wav	6.175	6.787	Speech
1409.wav	7.050	10.000	Running_water
141.wav	3.573	4.626	Cat
141.wav	5.931	6.405	Dog
141.wav	6.510	7.981	Cat
141.wav	9.659	10.000	Cat
1411.wav	3.884	5.743	Speech
1411.wav	4.537	5.166	Cat
1411.wav	9.350	10.000	Speech
1412.wav	0.821	1.652	Cat
1412.wav	8.036	8.503	Cat
1413.wav	0.522	1.816	Cat
1413.wav	2.840	4.812	Cat
1413.wav	4.328	4.578	Dog
1413.wav	5.288	6.061	Cat
1413.wav	7.180	8.172	Cat
1413.wav	8.731	10.000	Speech
1413.wav	9.143	10.000	Cat
1414.wav	5.005	5.609	Cat
1414.wav	6.985	7.329	Speech
1416.wav	4.359	5.269	Cat
1416.wav	8.779	10.000	Cat
1418.wav	2.206	3.073	Cat
1418.wav	4.765	6.441	Speech
1418.wav	7.229	9.537	Cat
1419.wav	0.388	1.543	Speech
1419.wav	3.209	3.996	Cat
1419.wav	4.554	5.353	Cat
1419.wav	6.688	8.284	Speech
1419.wav	6.702	8.173	Cat
1419.wav	9.476	10.000	Cat
142.wav	0.668	1.403	Cat
142.wav	0.788	1.038	Dishes
142.wav	1.694	2.592	Cat
142.wav	1.900	3.280	Speech
142.wav	4.410	5.908	Cat
